iteration, x
1, -4.845745211797625E-5
2, -0.0018483865639520119
3, -0.48173665440635793
4, -0.9975384344725422
5, -0.9367716608326263
6, -0.003780939461210599
7, -0.3987401916684433
8, -0.05571990294413971
9, -0.42576663684035465
10, -4.551976912140976E-7
11, -0.3121948753046746
12, -7.024032034551201E-9
13, -0.8905159540550209
14, -0.026047591389376224
15, -3.7202244901101677E-6
16, -2.360266080235606E-5
17, -0.12701063924764847
18, -0.9367716608326263
19, -1.249504740928748E-6
20, -0.03754192254765209
21, -5.00539842364621E-7
22, -1.3781738640869008E-5
23, -2.0828320826784593E-7
24, -1.3643694180540598E-6
25, -2.0828320826784593E-7
26, -0.9116590905664693
27, -1.9909907565264057E-8
28, -0.9820976408531548
29, -2.400960622028284E-5
30, -7.914365751077706E-5
31, -0.42576663684035465
32, -2.6885506483463128E-5
33, -5.6708240855069626E-5
34, -0.01615349618125735
35, -0.003012929217613462
36, -0.04887961195124895
37, -0.5270699485346347
38, -0.02412868376183051
39, -0.6572900945448509
40, -0.022324306352215797
41, -0.3004696082074926
42, -0.14705398085485957
43, -7.526489537185148E-5
44, -4.832270363615308E-8
45, -0.13980628886451243
46, -0.004284800326970375
47, -0.9996707374465221
48, -0.4554457467953593
49, -0.7586643518749772
50, -0.17150962237673914
51, -0.7027356714397426
52, -3.8326105661752106E-5
53, -0.8691158073097509
54, -0.025768843040241737
55, -0.3470153709792032
56, -0.03754192254765209
57, -0.03461978939786407
58, -2.097004573430773E-6
59, -2.400960622028284E-5
60, -1.052910140155893E-5
61, -0.0010931552721005066
62, -3.858767192364052E-9
63, -1.400131908867927E-4
64, -0.8343138207732111
65, -0.9989315251189803
66, -5.6708240855069626E-5
67, -0.09068776897403112
68, -0.00789482496614224
69, -7.477010183893609E-5
70, -7.904320142252642E-9
71, -0.42576663684035465
72, -0.6300339768942591
73, -0.6572900945448509
74, -5.256501150083535E-5
75, -0.0018483865639520119
76, -0.03754192254765209
77, -0.3987401916684433
78, -4.7701478990103416E-5
79, -1.5858938476463517E-8
80, -0.9773500811610196
81, -0.10815499886966004
82, -0.5396061225279571
83, -0.36143669173018567
84, -5.256501150083535E-5
85, -0.01596343057462417
86, -1.529369389032739E-7
87, -1.7796923852779377E-5
88, -8.10508300581937E-5
89, -0.09600316076956379
90, -0.7310352988826306
91, -0.9773500811610196
92, -9.158422882522922E-6
93, -1.0199807660550142E-5
94, -0.008567512107143219
95, -2.692136805765783E-6
96, -0.28738502873297694
97, -0.8479151863066443
98, -0.7586643518749772
99, -0.9457416606856188
100, -8.732588228508405E-7
